Plot;Harvest;Row ;Column ;Family;DMY
1344;1;12;30;11_H;1591.3
1343;1;12;31;120F;4783.7
1510;1;12;32;C;NA
1374;1;13;1;146F;2795.7
1375;1;13;2;100F;3667.4
1376;1;13;3;86F;3228.3
1377;1;13;4;14F;3521.7
1378;1;13;5;23F;5198.2
1379;1;13;6;59F;1889.1
1380;1;13;7;FL99;3515.2
1381;1;13;8;2_H;3499.2
1382;1;13;9;19_H;3576.1
1383;1;13;10;132F;2113
1384;1;13;11;4_H;2930.4
1385;1;13;12;UF2015;4880.9
1386;1;13;13;13F;4502.6
1387;1;13;14;67F;3217.4
1388;1;13;15;84F;3632.6
1389;1;13;16;136F;4056.5
1390;1;13;17;98F;3478.3
1391;1;13;18;52F;3576.1
1392;1;13;19;26F;2332.6
1393;1;13;20;6_H;3015.2
1394;1;13;21;32_H;3884.8
1395;1;13;22;41F;3704.3
1396;1;13;23;111F;4811.1
1397;1;13;24;22_H;4443.3
1398;1;13;25;20_H;4723.3
1399;1;13;26;81F;3026.1
1400;1;13;27;23F;3652.2
1401;1;13;28;144F;4471.4
1402;1;13;29;B_805;3618.5
1403;1;13;30;87F;3808.7
1404;1;13;31;3_H;4025.4
1511;1;13;32;C;NA
1435;1;14;1;76F;4128.3
1434;1;14;2;20F;2813
1433;1;14;3;36F;1517.4
1432;1;14;4;139F;3658.5
1431;1;14;5;33F;5480.8
1430;1;14;6;25_H;2891.3
1429;1;14;7;116F;2669.6
1428;1;14;8;58F;4519.8
1427;1;14;9;14_H;2743.5
1426;1;14;10;57F;3560.9
1425;1;14;11;3_H;2810.9
1424;1;14;12;9_H;2280.4
1423;1;14;13;138F;3404.3
1422;1;14;14;70F;2482.6
1421;1;14;15;16F;3008.7
1420;1;14;16;93F;3687
1419;1;14;17;13_H;2717.4
1418;1;14;18;UF2015;6012.3
1417;1;14;19;11F;5567.7
1416;1;14;20;12F;6029.3
1415;1;14;21;27_H;5824.2
1414;1;14;22;24_H;4494.1
1413;1;14;23;126F;6231.1
1412;1;14;24;31_H;5623.1
1411;1;14;25;B_805;5883.1
1410;1;14;26;16_H;6757.3
1409;1;14;27;15F;4297.2
1408;1;14;28;23_H;4305.6
1407;1;14;29;22F;7816.3
1406;1;14;30;28_H;6349.8
1405;1;14;31;FL99;7676.7
1512;1;14;32;C;NA
1001;2;1;1;4F;1726.09
1002;2;1;2;123F;1884.78
1003;2;1;3;UF2015;1391.3
1004;2;1;4;10F;1208.7
1005;2;1;5;42F;1591.3
1006;2;1;6;99F;1445.65
1007;2;1;7;9F;1102.17
1008;2;1;8;25F;1493.48
1009;2;1;9;46F;980.43
1010;2;1;10;6_H;1313.04
1011;2;1;11;66F;1189.13
1012;2;1;12;113F;1541.3
1013;2;1;13;110F;941.3
1014;2;1;14;145F;591.3
1015;2;1;15;32F;1108.7
1016;2;1;16;B_805;2093.48
1017;2;1;17;4_H;1941.3
1018;2;1;18;33_H;2367.39
1019;2;1;19;74F;1817.39
1020;2;1;20;26_H;1686.96
1021;2;1;21;30F;1443.48
1022;2;1;22;34_H;1593.48
1023;2;1;23;3F;1556.52
1024;2;1;24;121F;2989.13
1025;2;1;25;15_H;2050
1026;2;1;26;112F;2080.43
1027;2;1;27;FL99;1658.7
1028;2;1;28;83F;1689.13
1500;2;1;29;C;NA
1029;2;1;30;14_H;1834.78
1030;2;1;31;84F;2463.04
1031;2;1;32;20F;1313.04
1062;2;2;1;21F;602.17
1061;2;2;2;120F;1404.35
1060;2;2;3;125F;1243.48
1059;2;2;4;64F;806.52
1058;2;2;5;17_H;915.22
1057;2;2;6;80F;2232.61
1056;2;2;7;78F;2071.74
1055;2;2;8;102F;1241.3
1054;2;2;9;B_805;2130.43
1053;2;2;10;12_H;423.91
1052;2;2;11;114F;965.22
1051;2;2;12;30_H;2897.83
1050;2;2;13;22F;1400
1049;2;2;14;97F;1163.04
1048;2;2;15;134F;1950
1047;2;2;16;144F;1950
1046;2;2;17;FL99;1836.96
1045;2;2;18;5F;1280.43
1044;2;2;19;138F;2310.87
1043;2;2;20;7F;773.91
1042;2;2;21;UF2015;2195.65
1041;2;2;22;53F;1991.3
1040;2;2;23;8_H;2397.83
1039;2;2;24;14F;1606.52
1038;2;2;25;107F;652.17
1037;2;2;26;82F;604.35
1036;2;2;27;75F;569.57
1035;2;2;28;94F;1630.43
1501;2;2;29;C;NA
1034;2;2;30;5_H;2445.65
1033;2;2;31;35F;1219.57
1032;2;2;32;149F;7263.12
1063;2;3;1;1F;2863.04
1064;2;3;2;FL99;1250
1065;2;3;3;24_H;1489.13
1066;2;3;4;72F;1434.78
1067;2;3;5;92F;2076.09
1068;2;3;6;141F;2395.65
1069;2;3;7;60F;1017.39
1070;2;3;8;117F;4032.61
1071;2;3;9;49F;1417.39
1072;2;3;10;1_H;1906.52
1073;2;3;11;109F;1300
1074;2;3;12;81F;1617.39
1075;2;3;13;11_H;952.17
1076;2;3;14;62F;795.65
1077;2;3;15;36_H;1039.13
1078;2;3;16;44F;1226.09
1079;2;3;17;31_H;2647.83
1080;2;3;18;54F;2332.61
1081;2;3;19;86F;2906.52
1082;2;3;20;15F;3750
